engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
maximus,tpch,2,q12,cpu,55,0.18,56.3,6.7,3445.0,491,0.0,10.134,111.2,20.0,20.016,20.0,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q13,cpu,157,0.063,92.4,15.2,3447.0,351,0.0,5.8212,112.3,7.1,7.0749,7.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q14,cpu,66,0.153,54.0,5.6,3443.0,583,0.0,8.262,113.4,17.3,17.3502,17.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q15,cpu,67,0.148,53.0,7.2,3449.0,493,0.0,7.844,112.7,16.7,16.6796,16.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q16,cpu,205,0.048,65.7,20.2,3441.0,329,0.0,3.1536,115.0,5.5,5.52,5.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q17,cpu,58,0.169,53.0,6.0,3447.0,439,0.0,8.957,114.9,19.4,19.4181,19.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q18,cpu,49,0.203,53.3,7.5,3447.0,465,0.0,10.8199,115.5,23.4,23.4465,23.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q19,cpu,51,0.197,62.6,9.8,6553.0,380,0.0,12.3322,115.0,22.7,22.655,22.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q2,cpu,1112,0.009,55.6,4.2,3445.0,1060,0.0,0.5004,112.1,1.0,1.0089,1.0,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q20,cpu,55,0.18,52.6,5.6,3445.0,525,0.0,9.468,113.7,20.5,20.466,20.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q21,cpu,34,0.3,79.2,21.0,12785.0,365,0.0,23.76,113.0,33.9,33.9,33.9,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q22,cpu,257,0.038,53.0,6.3,3447.0,474,0.0,2.014,112.1,4.3,4.2598,4.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q3,cpu,250,0.039,55.2,2.3,3445.0,1729,0.0,2.1528,111.6,4.4,4.3524,4.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q4,cpu,385,0.025,54.9,1.4,3445.0,2415,0.0,1.3725,111.7,2.8,2.7925,2.8,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q5,cpu,223,0.042,55.5,3.0,3445.0,1456,0.0,2.331,114.7,4.8,4.8174,4.8,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q6,cpu,323,0.03,54.7,1.7,3441.0,1834,0.0,1.641,111.7,3.4,3.351,3.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q7,cpu,218,0.045,55.4,3.1,3445.0,1416,0.0,2.493,111.8,5.0,5.031,5.0,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q8,cpu,189,0.051,55.2,2.1,3445.0,1339,0.0,2.8152,111.7,5.7,5.6967,5.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q9,cpu,152,0.064,56.2,3.0,3447.0,1126,0.0,3.5968,112.1,7.2,7.1744,7.2,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,20,q1,cpu,20,0.496219,64.7,7.7,40772.0,1803,0.0,32.1054,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,20,q3,cpu,40,0.233579,61.3,2.6,40810.0,4733,0.0,14.3184,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
