config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,maximus_gpu,1.8,107.9,90.0,1.2,176.4,,tpch,0.1,55.70,0.2,,91,12791,178.2,1,,5000,661,624,q15,tpch_sf2_q15,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.6,93.6,20.4,135.4,,tpch,2.2,14.34,2.7,,94,6561,136.5,20,,500,188,147,q16,tpch_sf2_q16,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,-7752.8,78.2,4.0,160.7,,tpch,-23.3,35.27,0.5,,93,12791,171.0,3,,2500,430,428,q17,tpch_sf2_q17,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,95.1,6.0,181.7,,tpch,0.6,31.58,1.1,,96,12789,183.1,6,,1667,378,338,q18,tpch_sf2_q18,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,95.2,32.2,241.6,,tpch,3.5,16.13,7.7,,96,12785,245.0,32,,313,205,168,q19,tpch_sf2_q19,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,82.7,4.0,161.3,,tpch,0.4,40.63,0.6,,94,12787,170.2,4,,2500,489,489,q20,tpch_sf2_q20,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.6,83.2,116.6,194.4,,tpch,12.4,14.03,22.4,,99,14347,232.4,115,,87,180,179,q21,tpch_sf2_q21,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.8,56.5,2.1,121.6,,tpch,0.2,31.38,0.2,,67,6565,124.0,2,,5000,408,378,q22,tpch_sf2_q22,2,OK,gpu
baseline,4000000,auto,sirius,,,,,,,clickbench,,,,,,,,,,0,0,0,q0,clickbench_sf5_q0,5,OK,
baseline,4000000,auto,sirius,1.8,108.8,6.6,,59.0,0.0010,clickbench,0.00,13.26,,0.00,12,15841,60.1,,0.0000,10000,175,134,q1,clickbench_sf5_q1,5,OK,
baseline,4000000,auto,sirius,1.8,111.7,39.6,,75.0,0.0028,clickbench,0.11,17.00,,0.08,64,15841,86.5,,0.0010,3334,218,173,q10,clickbench_sf5_q10,5,OK,
baseline,4000000,auto,sirius,1.8,112.5,45.7,,77.3,0.0032,clickbench,0.11,16.73,,0.08,75,15841,90.2,,0.0010,2858,215,168,q11,clickbench_sf5_q11,5,OK,
baseline,4000000,auto,sirius,2.0,114.3,34.0,,102.4,0.0023,clickbench,0.11,18.88,,0.10,53,15841,121.8,,0.0010,5000,242,186,q12,clickbench_sf5_q12,5,OK,
baseline,4000000,auto,sirius,1.8,111.6,51.3,,105.6,0.0107,clickbench,0.11,14.30,,0.11,94,15841,141.1,,0.0010,626,183,128,q13,clickbench_sf5_q13,5,OK,
baseline,4000000,auto,sirius,2.0,112.3,37.0,,100.0,0.0024,clickbench,0.11,17.23,,0.10,63,15841,123.5,,0.0010,4000,220,173,q14,clickbench_sf5_q14,5,OK,
baseline,4000000,auto,sirius,1.8,107.7,2.5,,56.0,0.0032,clickbench,0.32,11.27,,0.17,22,15817,65.3,,0.0030,10002,139,97,q15,clickbench_sf5_q15,5,OK,
baseline,4000000,auto,sirius,1.8,110.9,17.2,,60.6,0.0061,clickbench,0.55,11.94,,0.30,76,15801,79.9,,0.0050,5001,148,105,q16,clickbench_sf5_q16,5,OK,
baseline,4000000,auto,sirius,1.8,107.9,6.6,,58.3,0.0045,clickbench,0.43,11.74,,0.23,68,15841,74.2,,0.0040,7500,145,98,q17,clickbench_sf5_q17,5,OK,
baseline,4000000,auto,sirius,1.8,111.3,12.8,,63.7,0.0098,clickbench,1.00,12.43,,0.57,81,15813,96.0,,0.0090,3000,155,106,q18,clickbench_sf5_q18,5,OK,
baseline,4000000,auto,sirius,1.8,107.8,12.6,,71.8,0.0009,clickbench,0.00,12.23,,0.00,13,15841,73.5,,0.0000,10000,160,119,q19,clickbench_sf5_q19,5,OK,
baseline,4000000,auto,sirius,1.8,111.6,1.5,,51.9,0.0013,clickbench,0.11,11.14,,0.05,12,15713,53.7,,0.0010,30000,136,85,q2,clickbench_sf5_q2,5,OK,
baseline,4000000,auto,sirius,1.8,111.3,78.4,,189.6,0.0045,clickbench,0.45,15.14,,0.76,79,15841,192.0,,0.0040,2500,196,117,q20,clickbench_sf5_q20,5,OK,
baseline,4000000,auto,sirius,1.8,110.9,73.2,,175.4,0.0054,clickbench,0.44,13.04,,0.70,75,15841,179.2,,0.0040,1667,170,111,q21,clickbench_sf5_q21,5,OK,
baseline,4000000,auto,sirius,1.8,109.7,82.9,,180.5,0.0106,clickbench,0.99,11.59,,1.62,86,15841,192.2,,0.0090,667,150,91,q22,clickbench_sf5_q22,5,OK,
baseline,4000000,auto,sirius,1.8,110.9,67.9,,169.1,0.0051,clickbench,0.44,12.93,,0.68,72,15841,177.8,,0.0040,1667,169,112,q23,clickbench_sf5_q23,5,OK,
baseline,4000000,auto,sirius,1.8,110.9,27.2,,91.9,0.0020,clickbench,0.11,13.58,,0.09,28,15841,93.3,,0.0010,5000,177,125,q24,clickbench_sf5_q24,5,OK,
