config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,maximus_gpu,15985,54.41,0.0,6557.0,2910.0,106.3,1.9
baseline,maximus_gpu,16059,54.03,0.0,6557.0,2910.0,106.2,1.9
baseline,maximus_gpu,16132,54.46,0.0,6557.0,2910.0,104.0,1.8
baseline,maximus_gpu,16204,54.44,0.0,6557.0,2910.0,107.3,1.9
baseline,maximus_gpu,16278,54.44,0.0,6557.0,2910.0,104.4,1.8
baseline,maximus_gpu,16352,54.46,0.0,6557.0,2910.0,106.1,1.9
baseline,maximus_gpu,16425,54.04,0.0,6557.0,2910.0,110.2,1.9
baseline,maximus_gpu,16499,53.33,0.0,6557.0,2910.0,112.2,3.5
baseline,maximus_gpu,16572,53.33,0.0,6557.0,2910.0,108.7,3.7
baseline,maximus_gpu,16646,50.07,0.0,6557.0,2910.0,109.0,3.6
baseline,maximus_gpu,16720,50.05,0.0,6557.0,2910.0,109.3,3.4
baseline,maximus_gpu,16793,50.04,0.0,6557.0,2910.0,107.1,1.8
baseline,maximus_gpu,16867,50.04,0.0,6557.0,2910.0,105.0,1.9
baseline,maximus_gpu,16942,50.06,0.0,6557.0,2910.0,109.2,3.6
baseline,maximus_gpu,17018,51.07,4.0,6557.0,2910.0,108.4,3.2
baseline,maximus_gpu,17092,53.89,4.0,6557.0,2910.0,108.2,3.7
baseline,maximus_gpu,17166,53.89,4.0,6557.0,2910.0,109.4,3.7
baseline,maximus_gpu,17240,54.28,4.0,6557.0,2910.0,107.8,3.4
baseline,maximus_gpu,17314,54.25,4.0,6557.0,2910.0,107.3,3.6
baseline,maximus_gpu,17387,54.26,4.0,6557.0,2910.0,107.6,2.3
baseline,maximus_gpu,17462,54.26,4.0,6557.0,2910.0,111.0,3.4
baseline,maximus_gpu,17536,54.27,0.0,6557.0,2910.0,111.3,3.3
baseline,maximus_gpu,17610,54.23,0.0,6557.0,2910.0,117.6,3.3
baseline,maximus_gpu,17685,54.23,0.0,6557.0,2910.0,111.6,3.6
baseline,maximus_gpu,17758,53.84,0.0,6557.0,2910.0,108.9,2.5
baseline,maximus_gpu,17834,54.24,0.0,6557.0,2910.0,110.6,3.4
baseline,maximus_gpu,17913,55.25,0.0,6557.0,2910.0,115.0,3.2
baseline,maximus_gpu,17988,57.43,26.0,6557.0,2910.0,109.5,3.6
baseline,maximus_gpu,18062,57.43,26.0,6557.0,2910.0,110.5,3.7
baseline,maximus_gpu,18136,54.22,26.0,6557.0,2910.0,107.8,3.6
baseline,maximus_gpu,18209,54.2,26.0,6557.0,2910.0,110.4,3.2
baseline,maximus_gpu,18283,54.2,26.0,6557.0,2910.0,104.2,1.9
baseline,maximus_gpu,18358,53.81,26.0,6557.0,2910.0,107.3,2.1
baseline,maximus_gpu,18433,54.2,26.0,6557.0,2910.0,113.0,3.4
baseline,maximus_gpu,18507,54.18,0.0,6557.0,2910.0,115.6,3.7
baseline,maximus_gpu,18581,54.18,0.0,6557.0,2910.0,111.8,3.7
baseline,maximus_gpu,18654,53.79,0.0,6557.0,2910.0,106.3,2.1
baseline,maximus_gpu,18728,53.79,0.0,6557.0,2910.0,107.2,1.8
baseline,maximus_gpu,18804,54.14,0.0,6557.0,2910.0,108.6,1.9
baseline,maximus_gpu,18878,54.14,0.0,6557.0,2910.0,108.5,1.8
baseline,maximus_gpu,18951,53.08,0.0,6557.0,2910.0,105.8,1.8
