config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_sm_mhz,gpu_energy_j,cpu_energy_j,total_energy_j,status
pl200w_smauto,200,auto,sirius,h2o,4gb,q7,cpu,62,74.0000,74.0000,11.44,169,117,161.0,189.6,35.4,96446,1285,11.9148,0.0000,11.9148,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q9,cpu,69,72.0000,72.0000,10.54,158,78,186.4,195.0,93.7,96483,1078,13.4218,0.0000,13.4218,OK
pl250w_smauto,250,auto,maximus,tpch,10,q1,gpu,100,34.1910,34.1910,6.56,95,81,223.9,240.1,97.1,48708,1408,7.6547,0.0000,7.6547,OK
pl250w_smauto,250,auto,maximus,tpch,10,q3,gpu,100,13.5100,13.5100,4.61,66,52,218.8,244.1,95.2,48710,1331,2.9563,0.0000,2.9563,OK
pl250w_smauto,250,auto,maximus,tpch,10,q6,gpu,100,7.1110,7.1110,3.75,54,39,209.6,240.7,94.6,48712,1211,1.4908,0.0000,1.4908,OK
pl250w_smauto,250,auto,maximus,tpch,10,q9,gpu,100,31.1180,31.1180,6.93,102,88,225.6,244.9,96.3,48713,1376,7.0195,0.0000,7.0195,OK
pl250w_smauto,250,auto,maximus,tpch,10,q13,gpu,33,152.9970,152.9970,7.06,106,91,232.0,249.6,98.4,48714,1361,35.5028,0.0000,35.5028,OK
pl250w_smauto,250,auto,maximus,tpch,10,q16,gpu,100,29.5180,29.5180,5.16,78,64,226.5,247.8,93.1,48718,1647,6.6861,0.0000,6.6861,OK
pl250w_smauto,250,auto,maximus,tpch,10,q1,cpu,100,44.9420,44.9420,135.79,2123,2117,124.5,188.8,3.1,48710,1966,5.5973,0.0000,5.5973,OK
pl250w_smauto,250,auto,maximus,tpch,10,q3,cpu,100,19.6150,19.6150,163.76,2561,2554,121.0,130.9,1.2,48704,1980,2.3744,0.0000,2.3744,OK
pl250w_smauto,250,auto,maximus,tpch,10,q6,cpu,100,12.1790,12.1790,131.83,2060,2054,120.2,125.8,0.8,48703,1980,1.4637,0.0000,1.4637,OK
pl250w_smauto,250,auto,maximus,tpch,10,q9,cpu,20,260.4940,260.4940,48.30,753,748,121.7,126.4,1.5,48705,1977,31.7151,0.0000,31.7151,OK
pl250w_smauto,250,auto,maximus,tpch,10,q13,cpu,33,149.9110,149.9110,20.88,322,316,159.6,190.8,25.2,48706,1800,23.9269,0.0000,23.9269,OK
pl250w_smauto,250,auto,maximus,tpch,10,q16,cpu,41,124.0360,124.0360,20.90,323,317,130.1,148.2,6.1,48708,1962,16.1418,0.0000,16.1418,OK
pl250w_smauto,250,auto,sirius,tpch,10,q1,gpu,63,78.0000,78.0000,11.45,172,80,228.6,241.1,94.4,96458,1382,17.8304,0.0000,17.8304,OK
pl250w_smauto,250,auto,sirius,tpch,10,q3,gpu,100,24.0000,24.0000,6.03,88,32,159.0,246.6,42.3,96724,1814,3.8167,0.0000,3.8167,OK
pl250w_smauto,250,auto,sirius,tpch,10,q6,gpu,100,3.0000,3.0000,4.89,73,21,137.5,178.0,19.8,96580,1916,0.4125,0.0000,0.4125,OK
pl250w_smauto,250,auto,sirius,tpch,10,q9,gpu,8,687.0000,687.0000,12.03,162,100,144.6,164.6,8.2,96430,1886,99.3232,0.0000,99.3232,OK
pl250w_smauto,250,auto,sirius,tpch,10,q13,gpu,93,54.0000,54.0000,8.87,132,55,224.8,240.3,93.9,96754,1270,12.1410,0.0000,12.1410,OK
pl250w_smauto,250,auto,sirius,tpch,10,q16,gpu,80,63.0000,63.0000,25.33,174,52,212.1,251.3,76.2,96751,1432,13.3630,0.0000,13.3630,OK
pl250w_smauto,250,auto,sirius,tpch,10,q1,cpu,62,78.0000,78.0000,11.48,173,79,228.4,241.7,94.5,96452,1399,17.8189,0.0000,17.8189,OK
pl250w_smauto,250,auto,sirius,tpch,10,q3,cpu,100,24.0000,24.0000,6.00,87,33,161.0,250.1,41.8,96752,1823,3.8632,0.0000,3.8632,OK
pl250w_smauto,250,auto,sirius,tpch,10,q6,cpu,100,3.0000,3.0000,4.97,74,20,135.0,177.2,21.2,96574,1919,0.4050,0.0000,0.4050,OK
pl250w_smauto,250,auto,sirius,tpch,10,q9,cpu,8,688.0000,688.0000,12.22,162,100,144.3,165.0,9.5,96430,1894,99.2844,0.0000,99.2844,OK
pl250w_smauto,250,auto,sirius,tpch,10,q13,cpu,90,53.0000,53.0000,8.84,132,77,195.7,239.9,69.2,96756,1458,10.3711,0.0000,10.3711,OK
pl250w_smauto,250,auto,sirius,tpch,10,q16,cpu,80,62.0000,62.0000,25.04,170,53,212.2,249.1,75.0,96762,1437,13.1555,0.0000,13.1555,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q1,gpu,100,18.5550,18.5550,4.70,69,55,221.6,245.3,98.8,48706,1511,4.1117,0.0000,4.1117,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q3,gpu,80,60.9040,60.9040,7.59,105,91,228.7,243.1,87.1,48709,1124,13.9302,0.0000,13.9302,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q5,gpu,100,12.9750,12.9750,4.54,65,51,220.8,249.1,98.7,48709,1045,2.8648,0.0000,2.8648,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q6,gpu,11,493.1540,493.1540,7.40,109,93,231.5,252.1,99.6,48713,906,114.1808,0.0000,114.1808,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q7,gpu,100,45.3060,45.3060,7.70,110,95,236.0,253.4,88.6,48714,1039,10.6937,0.0000,10.6937,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q9,gpu,83,61.9350,61.9350,8.32,122,108,224.4,241.3,98.8,48711,1193,13.8960,0.0000,13.8960,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q1,cpu,33,149.5370,149.5370,52.70,822,816,121.8,179.2,1.3,48708,1980,18.2091,0.0000,18.2091,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q3,cpu,15,346.7440,346.7440,29.55,458,451,124.6,130.9,3.3,48705,1957,43.1993,0.0000,43.1993,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q5,cpu,23,218.9710,218.9710,40.63,632,627,121.6,132.7,1.0,48703,1976,26.6305,0.0000,26.6305,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q6,cpu,8,631.3350,631.3350,20.57,316,223,154.5,189.2,25.6,48705,1675,97.5271,0.0000,97.5271,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q7,cpu,18,288.4420,288.4420,33.42,519,512,124.4,170.4,2.1,48701,1956,35.8843,0.0000,35.8843,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q9,cpu,76,61.8290,61.8290,107.98,1684,1678,128.7,135.7,4.8,48706,1941,7.9555,0.0000,7.9555,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q1,gpu,100,14.0000,14.0000,6.61,99,46,171.4,252.1,47.7,96609,1868,2.3994,0.0000,2.3994,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q3,gpu,48,94.0000,94.0000,11.45,171,117,172.2,224.5,26.1,96390,1677,16.1908,0.0000,16.1908,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q5,gpu,100,19.0000,19.0000,6.85,103,49,188.5,259.4,57.2,96617,1614,3.5806,0.0000,3.5806,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q6,gpu,100,28.0000,28.0000,7.69,116,46,228.8,249.0,91.0,96620,1427,6.4052,0.0000,6.4052,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q7,gpu,65,71.0000,71.0000,11.16,165,112,179.8,220.1,32.3,96461,1674,12.7684,0.0000,12.7684,OK
