engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
sirius,tpch,10,q10,gpu,42.0000,180.2,0.0,180.2,7.5684,7.5684,OK
sirius,tpch,10,q11,gpu,7.0000,132.6,0.0,132.6,0.9282,0.9282,OK
sirius,tpch,10,q12,gpu,14.0000,153.8,0.0,153.8,2.1532,2.1532,OK
sirius,tpch,10,q13,gpu,44.0000,345.0,0.0,345.0,15.1800,15.1800,OK
sirius,tpch,10,q14,gpu,6.0000,138.2,0.0,138.2,0.8292,0.8292,OK
sirius,tpch,10,q15,gpu,6.0000,129.4,0.0,129.4,0.7764,0.7764,OK
sirius,tpch,10,q16,gpu,51.0000,203.6,0.0,203.6,10.3836,10.3836,OK
sirius,tpch,10,q17,gpu,64.0000,224.6,0.0,224.6,14.3744,14.3744,OK
sirius,tpch,10,q18,gpu,114.0000,308.9,0.0,308.9,35.2146,35.2146,OK
sirius,tpch,10,q19,gpu,21.0000,164.7,0.0,164.7,3.4587,3.4587,OK
sirius,tpch,10,q20,gpu,15.0000,130.5,0.0,130.5,1.9575,1.9575,OK
sirius,tpch,10,q21,gpu,250.0000,310.4,0.0,310.4,77.6000,77.6000,OK
sirius,tpch,10,q22,gpu,13.0000,145.7,0.0,145.7,1.8941,1.8941,OK
sirius,tpch,10,q1,cpu,63.0000,347.4,0.0,347.4,21.8862,21.8862,OK
sirius,tpch,10,q2,cpu,22.0000,129.4,0.0,129.4,2.8468,2.8468,OK
sirius,tpch,10,q3,cpu,22.0000,175.6,0.0,175.6,3.8632,3.8632,OK
sirius,tpch,10,q4,cpu,19.0000,188.4,0.0,188.4,3.5796,3.5796,OK
sirius,tpch,10,q5,cpu,94.0000,240.0,0.0,240.0,22.5600,22.5600,OK
sirius,tpch,10,q6,cpu,4.0000,137.6,0.0,137.6,0.5504,0.5504,OK
sirius,tpch,10,q7,cpu,33.0000,125.0,0.0,125.0,4.1250,4.1250,OK
sirius,tpch,10,q8,cpu,32.0000,136.9,0.0,136.9,4.3808,4.3808,OK
sirius,tpch,10,q9,cpu,678.0000,155.5,0.0,155.5,105.4290,105.4290,OK
sirius,tpch,10,q10,cpu,41.0000,183.4,0.0,183.4,7.5194,7.5194,OK
sirius,tpch,10,q11,cpu,6.0000,133.4,0.0,133.4,0.8004,0.8004,OK
sirius,tpch,10,q12,cpu,14.0000,155.5,0.0,155.5,2.1770,2.1770,OK
sirius,tpch,10,q13,cpu,44.0000,274.9,0.0,274.9,12.0956,12.0956,OK
sirius,tpch,10,q14,cpu,6.0000,134.3,0.0,134.3,0.8058,0.8058,OK
sirius,tpch,10,q15,cpu,6.0000,131.0,0.0,131.0,0.7860,0.7860,OK
sirius,tpch,10,q16,cpu,51.0000,284.5,0.0,284.5,14.5095,14.5095,OK
sirius,tpch,10,q17,cpu,64.0000,225.1,0.0,225.1,14.4064,14.4064,OK
sirius,tpch,10,q18,cpu,114.0000,299.8,0.0,299.8,34.1772,34.1772,OK
sirius,tpch,10,q19,cpu,21.0000,165.8,0.0,165.8,3.4818,3.4818,OK
sirius,tpch,10,q20,cpu,15.0000,128.6,0.0,128.6,1.9290,1.9290,OK
sirius,tpch,10,q21,cpu,251.0000,311.2,0.0,311.2,78.1112,78.1112,OK
sirius,tpch,10,q22,cpu,14.0000,145.9,0.0,145.9,2.0426,2.0426,OK
maximus,h2o,1gb,q1,gpu,4.2970,198.4,0.0,198.4,0.8525,0.8525,OK
maximus,h2o,1gb,q2,gpu,3.7280,228.4,0.0,228.4,0.8515,0.8515,OK
maximus,h2o,1gb,q3,gpu,25.4900,269.3,0.0,269.3,6.8645,6.8645,OK
maximus,h2o,1gb,q4,gpu,4.3120,206.1,0.0,206.1,0.8887,0.8887,OK
maximus,h2o,1gb,q5,gpu,2.6740,228.1,0.0,228.1,0.6099,0.6099,OK
maximus,h2o,1gb,q6,gpu,68.9120,445.6,0.0,445.6,30.7072,30.7072,OK
maximus,h2o,1gb,q7,gpu,17.7690,277.1,0.0,277.1,4.9238,4.9238,OK
maximus,h2o,1gb,q9,gpu,12.4160,340.0,0.0,340.0,4.2214,4.2214,OK
maximus,h2o,1gb,q10,gpu,139.6580,267.1,0.0,267.1,37.3027,37.3027,OK
maximus,h2o,1gb,q1,cpu,38.3530,122.6,0.0,122.6,4.7021,4.7021,OK
maximus,h2o,1gb,q2,cpu,60.4900,122.1,0.0,122.1,7.3858,7.3858,OK
maximus,h2o,1gb,q3,cpu,97.4110,128.3,0.0,128.3,12.4978,12.4978,OK
maximus,h2o,1gb,q4,cpu,54.9130,120.9,0.0,120.9,6.6390,6.6390,OK
maximus,h2o,1gb,q5,cpu,53.1000,121.6,0.0,121.6,6.4570,6.4570,OK
maximus,h2o,1gb,q6,cpu,109.4920,169.2,0.0,169.2,18.5260,18.5260,OK
maximus,h2o,1gb,q7,cpu,81.5060,127.9,0.0,127.9,10.4246,10.4246,OK
maximus,h2o,1gb,q9,cpu,15.9580,131.7,0.0,131.7,2.1017,2.1017,OK
