category,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,status
full,sirius,h2o,3gb,q5,cpu,3,13.0000,13.0000,OK
full,sirius,h2o,3gb,q6,cpu,3,18.0000,18.0000,OK
full,sirius,h2o,3gb,q7,cpu,3,71.0000,68.0000,OK
full,sirius,h2o,3gb,q9,cpu,3,43.0000,42.0000,OK
full,sirius,h2o,3gb,q10,cpu,3,1699.0000,1699.0000,OK
full,maximus,h2o,4gb,q1,gpu,3,15.9400,15.7980,OK
full,maximus,h2o,4gb,q2,gpu,3,13.3220,13.3220,OK
full,maximus,h2o,4gb,q3,gpu,3,57.4690,57.4690,OK
full,maximus,h2o,4gb,q4,gpu,3,16.0010,16.0010,OK
full,maximus,h2o,4gb,q5,gpu,3,9.5650,9.5650,OK
full,maximus,h2o,4gb,q6,gpu,3,326.9820,326.9820,OK
full,maximus,h2o,4gb,q7,gpu,3,42.1750,42.1750,OK
full,maximus,h2o,4gb,q9,gpu,3,45.0360,45.0360,OK
full,maximus,h2o,4gb,q10,gpu,3,566.4810,566.4810,OK
full,maximus,h2o,4gb,q1,cpu,3,149.5560,149.5190,OK
full,maximus,h2o,4gb,q2,cpu,3,241.6550,241.2530,OK
full,maximus,h2o,4gb,q3,cpu,3,348.8540,348.2450,OK
full,maximus,h2o,4gb,q4,cpu,3,226.2200,225.4910,OK
full,maximus,h2o,4gb,q5,cpu,3,215.4970,214.8190,OK
full,maximus,h2o,4gb,q6,cpu,3,494.7630,494.6640,OK
full,maximus,h2o,4gb,q7,cpu,3,293.5670,293.3770,OK
full,maximus,h2o,4gb,q9,cpu,3,59.8990,59.8990,OK
full,maximus,h2o,4gb,q10,cpu,3,1337.3620,1299.8870,OK
full,sirius,h2o,4gb,q1,gpu,3,14.0000,14.0000,OK
full,sirius,h2o,4gb,q2,gpu,3,14.0000,14.0000,OK
full,sirius,h2o,4gb,q3,gpu,3,105.0000,104.0000,OK
full,sirius,h2o,4gb,q4,gpu,3,24.0000,23.0000,OK
full,sirius,h2o,4gb,q5,gpu,3,17.0000,17.0000,OK
full,sirius,h2o,4gb,q6,gpu,3,25.0000,25.0000,OK
full,sirius,h2o,4gb,q7,gpu,3,76.0000,76.0000,OK
full,sirius,h2o,4gb,q9,gpu,3,55.0000,55.0000,OK
full,sirius,h2o,4gb,q10,gpu,3,2579.0000,2579.0000,OK
full,sirius,h2o,4gb,q1,cpu,3,14.0000,14.0000,OK
full,sirius,h2o,4gb,q2,cpu,3,14.0000,14.0000,OK
full,sirius,h2o,4gb,q3,cpu,3,112.0000,111.0000,OK
full,sirius,h2o,4gb,q4,cpu,3,26.0000,23.0000,OK
full,sirius,h2o,4gb,q5,cpu,3,17.0000,17.0000,OK
full,sirius,h2o,4gb,q6,cpu,3,25.0000,25.0000,OK
full,sirius,h2o,4gb,q7,cpu,3,79.0000,76.0000,OK
full,sirius,h2o,4gb,q9,cpu,3,55.0000,55.0000,OK
full,sirius,h2o,4gb,q10,cpu,3,2377.0000,2260.0000,OK
full,maximus,clickbench,10,q0,gpu,3,0.3230,0.3230,OK
full,maximus,clickbench,10,q1,gpu,3,0.4720,0.4720,OK
full,maximus,clickbench,10,q2,gpu,3,5.0620,5.0620,OK
full,maximus,clickbench,10,q3,gpu,3,2.9940,2.9940,OK
full,maximus,clickbench,10,q4,gpu,3,0.7310,0.7310,OK
full,maximus,clickbench,10,q5,gpu,3,1.3200,1.3200,OK
full,maximus,clickbench,10,q6,gpu,3,5.6170,5.6170,OK
full,maximus,clickbench,10,q7,gpu,3,0.5130,0.5130,OK
full,maximus,clickbench,10,q8,gpu,3,7.3910,7.3910,OK
full,maximus,clickbench,10,q9,gpu,3,7.6440,7.6440,OK
full,maximus,clickbench,10,q10,gpu,3,3.1980,3.1980,OK
full,maximus,clickbench,10,q11,gpu,3,3.7810,3.7810,OK
full,maximus,clickbench,10,q12,gpu,3,4.8910,4.8910,OK
full,maximus,clickbench,10,q13,gpu,3,21.8440,21.8440,OK
full,maximus,clickbench,10,q14,gpu,3,5.1070,5.1070,OK
full,maximus,clickbench,10,q15,gpu,3,1.0770,1.0770,OK
full,maximus,clickbench,10,q16,gpu,3,5.2320,5.2320,OK
full,maximus,clickbench,10,q17,gpu,3,5.2100,5.2100,OK
full,maximus,clickbench,10,q19,gpu,3,0.1790,0.1790,OK
full,maximus,clickbench,10,q20,gpu,3,78.0250,78.0250,OK
full,maximus,clickbench,10,q21,gpu,3,79.4990,79.3450,OK
full,maximus,clickbench,10,q22,gpu,3,81.6350,81.5120,OK
full,maximus,clickbench,10,q23,gpu,3,78.1900,78.1900,OK
full,maximus,clickbench,10,q24,gpu,3,5.5130,5.5130,OK
full,maximus,clickbench,10,q25,gpu,3,20.6330,20.6330,OK
full,maximus,clickbench,10,q26,gpu,3,9.4430,9.4430,OK
full,maximus,clickbench,10,q29,gpu,3,6.0530,6.0530,OK
full,maximus,clickbench,10,q30,gpu,3,2.7500,2.7500,OK
full,maximus,clickbench,10,q31,gpu,3,3.3300,3.3300,OK
full,maximus,clickbench,10,q32,gpu,3,25.1620,25.1620,OK
full,maximus,clickbench,10,q33,gpu,3,18.7550,18.7550,OK
full,maximus,clickbench,10,q34,gpu,3,18.4550,18.4550,OK
full,maximus,clickbench,10,q35,gpu,3,0.9420,0.9420,OK
full,maximus,clickbench,10,q36,gpu,3,1.2810,1.2810,OK
full,maximus,clickbench,10,q37,gpu,3,1.3050,1.3050,OK
full,maximus,clickbench,10,q38,gpu,3,0.8880,0.8880,OK
full,maximus,clickbench,10,q39,gpu,3,0.6310,0.6210,OK
full,maximus,clickbench,10,q40,gpu,3,1.0090,1.0090,OK
full,maximus,clickbench,10,q41,gpu,3,0.8910,0.8910,OK
full,maximus,clickbench,10,q0,cpu,0,,,FAIL
full,maximus,clickbench,10,q1,cpu,0,,,FAIL
full,maximus,clickbench,10,q2,cpu,0,,,FAIL
full,maximus,clickbench,10,q3,cpu,0,,,FAIL
full,maximus,clickbench,10,q4,cpu,0,,,FAIL
full,maximus,clickbench,10,q5,cpu,0,,,FAIL
full,maximus,clickbench,10,q6,cpu,0,,,FAIL
full,maximus,clickbench,10,q7,cpu,0,,,FAIL
full,maximus,clickbench,10,q8,cpu,0,,,FAIL
full,maximus,clickbench,10,q9,cpu,0,,,FAIL
full,maximus,clickbench,10,q10,cpu,0,,,FAIL
full,maximus,clickbench,10,q11,cpu,0,,,FAIL
full,maximus,clickbench,10,q12,cpu,0,,,FAIL
