engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
sirius,h2o,1gb,q7,cpu,3,46.0000,46.0000,47.0000;46.0000;46.0000,OK
sirius,h2o,1gb,q9,cpu,3,17.0000,17.0000,17.0000;17.0000;17.0000,OK
sirius,h2o,1gb,q10,cpu,3,496.0000,496.0000,509.0000;500.0000;496.0000,OK
maximus,h2o,2gb,q1,gpu,3,8.0240,8.0240,18.8920;8.0830;8.0240,OK
maximus,h2o,2gb,q2,gpu,3,6.9610,6.9610,23.0390;7.0610;6.9610,OK
maximus,h2o,2gb,q3,gpu,3,36.3530,36.3530,49.7060;36.3640;36.3530,OK
maximus,h2o,2gb,q4,gpu,3,8.1750,8.1750,18.9630;8.1990;8.1750,OK
maximus,h2o,2gb,q5,gpu,3,4.9930,4.9930,19.0700;5.0620;4.9930,OK
maximus,h2o,2gb,q6,gpu,3,150.9400,150.9400,175.7580;151.0520;150.9400,OK
maximus,h2o,2gb,q7,gpu,3,26.1830,26.1830,39.9490;26.2400;26.1830,OK
maximus,h2o,2gb,q9,gpu,3,24.0710,22.9830,45.8060;22.9830;24.0710,OK
maximus,h2o,2gb,q10,gpu,3,283.6510,283.6200,295.0010;283.6200;283.6510,OK
maximus,h2o,2gb,q1,cpu,3,75.0110,74.9410,87.6240;74.9410;75.0110,OK
maximus,h2o,2gb,q2,cpu,3,120.0720,120.0720,136.1570;120.2200;120.0720,OK
maximus,h2o,2gb,q3,cpu,3,179.8120,179.8120,195.5810;179.8380;179.8120,OK
maximus,h2o,2gb,q4,cpu,3,110.5020,110.2160,123.0650;110.2160;110.5020,OK
maximus,h2o,2gb,q5,cpu,3,107.5920,107.2950,122.9180;107.2950;107.5920,OK
maximus,h2o,2gb,q6,cpu,3,234.9670,234.7250,260.4040;234.7250;234.9670,OK
maximus,h2o,2gb,q7,cpu,3,149.8290,149.5630,162.5820;149.5630;149.8290,OK
maximus,h2o,2gb,q9,cpu,3,31.2640,30.2520,57.4090;30.2520;31.2640,OK
maximus,h2o,2gb,q10,cpu,3,576.7370,567.1410,567.1410;570.1840;576.7370,OK
sirius,h2o,2gb,q1,gpu,3,8.0000,8.0000,8.0000;8.0000;8.0000,OK
sirius,h2o,2gb,q2,gpu,3,8.0000,7.0000,8.0000;7.0000;8.0000,OK
sirius,h2o,2gb,q3,gpu,3,86.0000,83.0000,104.0000;83.0000;86.0000,OK
sirius,h2o,2gb,q4,gpu,3,13.0000,13.0000,13.0000;13.0000;13.0000,OK
sirius,h2o,2gb,q5,gpu,3,9.0000,9.0000,10.0000;9.0000;9.0000,OK
sirius,h2o,2gb,q6,gpu,3,13.0000,13.0000,13.0000;13.0000;13.0000,OK
sirius,h2o,2gb,q7,gpu,3,60.0000,60.0000,60.0000;63.0000;60.0000,OK
sirius,h2o,2gb,q9,gpu,3,30.0000,30.0000,30.0000;30.0000;30.0000,OK
sirius,h2o,2gb,q10,gpu,3,1249.0000,1123.0000,1255.0000;1123.0000;1249.0000,OK
sirius,h2o,2gb,q1,cpu,3,8.0000,8.0000,8.0000;8.0000;8.0000,OK
sirius,h2o,2gb,q2,cpu,3,8.0000,8.0000,8.0000;8.0000;8.0000,OK
sirius,h2o,2gb,q3,cpu,3,84.0000,84.0000,85.0000;84.0000;84.0000,OK
sirius,h2o,2gb,q4,cpu,3,12.0000,12.0000,12.0000;13.0000;12.0000,OK
sirius,h2o,2gb,q5,cpu,3,10.0000,9.0000,10.0000;9.0000;10.0000,OK
sirius,h2o,2gb,q6,cpu,3,13.0000,13.0000,13.0000;13.0000;13.0000,OK
