config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
pl250w_smauto,250,auto,sirius,h2o,4gb,q7,gpu,3,79.0000,78.0000,78.0000;79.0000;79.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q9,gpu,3,63.0000,63.0000,63.0000;63.0000;63.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q1,cpu,3,15.0000,14.0000,15.0000;14.0000;15.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q3,cpu,3,117.0000,105.0000,105.0000;105.0000;117.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q5,cpu,3,20.0000,18.0000,18.0000;20.0000;20.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q6,cpu,3,28.0000,28.0000,28.0000;28.0000;28.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q7,cpu,3,77.0000,76.0000,86.0000;76.0000;77.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q9,cpu,3,63.0000,62.0000,62.0000;63.0000;63.0000,OK
pl300w_smauto,300,auto,maximus,tpch,10,q1,gpu,3,33.4400,32.7950,43.3270;32.7950;33.4400,OK
pl300w_smauto,300,auto,maximus,tpch,10,q3,gpu,3,11.9570,11.4530,27.0920;11.4530;11.9570,OK
pl300w_smauto,300,auto,maximus,tpch,10,q6,gpu,3,6.7820,6.7820,7.5470;6.9060;6.7820,OK
pl300w_smauto,300,auto,maximus,tpch,10,q9,gpu,3,30.7140,27.4580,55.0120;27.4580;30.7140,OK
pl300w_smauto,300,auto,maximus,tpch,10,q13,gpu,3,143.3220,137.0540,153.2160;137.0540;143.3220,OK
pl300w_smauto,300,auto,maximus,tpch,10,q16,gpu,3,28.5520,27.8970,47.0990;27.8970;28.5520,OK
pl300w_smauto,300,auto,maximus,tpch,10,q1,cpu,3,45.4080,45.4080,70.6140;45.8750;45.4080,OK
pl300w_smauto,300,auto,maximus,tpch,10,q3,cpu,3,19.7110,19.7110,39.8790;19.7600;19.7110,OK
pl300w_smauto,300,auto,maximus,tpch,10,q6,cpu,3,12.3520,12.3310,15.7310;12.3310;12.3520,OK
pl300w_smauto,300,auto,maximus,tpch,10,q9,cpu,3,260.2790,260.2790,282.2710;261.2010;260.2790,OK
pl300w_smauto,300,auto,maximus,tpch,10,q13,cpu,3,143.7310,143.7310,166.9640;143.9070;143.7310,OK
pl300w_smauto,300,auto,maximus,tpch,10,q16,cpu,3,121.2570,121.1370,142.7660;121.1370;121.2570,OK
pl300w_smauto,300,auto,sirius,tpch,10,q1,gpu,3,75.0000,74.0000,74.0000;75.0000;75.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q3,gpu,3,22.0000,21.0000,21.0000;22.0000;22.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q6,gpu,3,4.0000,4.0000,4.0000;4.0000;4.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q9,gpu,3,692.0000,684.0000,685.0000;684.0000;692.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q13,gpu,3,50.0000,50.0000,50.0000;51.0000;50.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q16,gpu,3,58.0000,58.0000,61.0000;60.0000;58.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q1,cpu,3,75.0000,71.0000,71.0000;75.0000;75.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q3,cpu,3,22.0000,22.0000,22.0000;22.0000;22.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q6,cpu,3,4.0000,4.0000,4.0000;4.0000;4.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q9,cpu,3,687.0000,679.0000,685.0000;679.0000;687.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q13,cpu,3,51.0000,50.0000,51.0000;50.0000;51.0000,OK
pl300w_smauto,300,auto,sirius,tpch,10,q16,cpu,3,59.0000,59.0000,60.0000;59.0000;59.0000,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q1,gpu,3,17.3490,17.3490,35.9680;18.4450;17.3490,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q3,gpu,3,58.9400,58.9400,79.3200;59.0940;58.9400,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q5,gpu,3,12.3360,11.5190,27.8070;11.5190;12.3360,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q6,gpu,3,410.3020,406.3660,422.7840;406.3660;410.3020,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q7,gpu,3,43.4870,43.4870,63.6800;43.6570;43.4870,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q9,gpu,3,57.6390,53.8290,91.2680;53.8290;57.6390,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q1,cpu,3,152.7840,152.5330,163.2230;152.5330;152.7840,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q3,cpu,3,347.6880,347.6880,360.3950;347.9080;347.6880,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q5,cpu,3,216.1360,216.1190,230.1160;216.1190;216.1360,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q6,cpu,3,556.1860,556.1860,570.4420;557.7580;556.1860,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q7,cpu,3,290.7410,289.8660,304.7380;289.8660;290.7410,OK
pl300w_smauto,300,auto,maximus,h2o,4gb,q9,cpu,3,63.8820,62.8820,87.5290;62.8820;63.8820,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q1,gpu,3,14.0000,14.0000,15.0000;14.0000;14.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q3,gpu,3,100.0000,100.0000,100.0000;102.0000;100.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q5,gpu,3,18.0000,17.0000,17.0000;18.0000;18.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q6,gpu,3,26.0000,26.0000,26.0000;26.0000;26.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q7,gpu,3,86.0000,76.0000,76.0000;76.0000;86.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q9,gpu,3,57.0000,57.0000,57.0000;57.0000;57.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q1,cpu,3,14.0000,14.0000,14.0000;15.0000;14.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q3,cpu,3,106.0000,106.0000,113.0000;114.0000;106.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q5,cpu,3,19.0000,17.0000,17.0000;19.0000;19.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q6,cpu,3,27.0000,26.0000,26.0000;26.0000;27.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q7,cpu,3,76.0000,76.0000,76.0000;80.0000;76.0000,OK
pl300w_smauto,300,auto,sirius,h2o,4gb,q9,cpu,3,57.0000,56.0000,57.0000;56.0000;57.0000,OK
pl400w_smauto,400,auto,maximus,tpch,10,q1,gpu,3,27.9850,27.9850,41.2400;28.2030;27.9850,OK
pl400w_smauto,400,auto,maximus,tpch,10,q3,gpu,3,10.5010,10.5010,25.6010;10.8160;10.5010,OK
pl400w_smauto,400,auto,maximus,tpch,10,q6,gpu,3,5.2830,5.1980,7.3440;5.1980;5.2830,OK
pl400w_smauto,400,auto,maximus,tpch,10,q9,gpu,3,25.9450,25.9450,49.5050;26.4060;25.9450,OK
pl400w_smauto,400,auto,maximus,tpch,10,q13,gpu,3,119.4420,116.8500,132.5680;116.8500;119.4420,OK
pl400w_smauto,400,auto,maximus,tpch,10,q16,gpu,3,27.4540,27.3550,48.6460;27.3550;27.4540,OK
pl400w_smauto,400,auto,maximus,tpch,10,q1,cpu,3,45.1660,45.1660,63.0760;45.1720;45.1660,OK
pl400w_smauto,400,auto,maximus,tpch,10,q3,cpu,3,19.8710,19.7520,34.7880;19.7520;19.8710,OK
pl400w_smauto,400,auto,maximus,tpch,10,q6,cpu,3,12.3310,12.3050,15.7600;12.3050;12.3310,OK
pl400w_smauto,400,auto,maximus,tpch,10,q9,cpu,3,259.0070,259.0070,278.5990;259.1760;259.0070,OK
pl400w_smauto,400,auto,maximus,tpch,10,q13,cpu,3,127.5320,125.9570,148.9930;125.9570;127.5320,OK
pl400w_smauto,400,auto,maximus,tpch,10,q16,cpu,3,121.9380,121.8270,144.1360;121.8270;121.9380,OK
pl400w_smauto,400,auto,sirius,tpch,10,q1,gpu,3,66.0000,64.0000,64.0000;64.0000;66.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q3,gpu,3,22.0000,22.0000,22.0000;22.0000;22.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q6,gpu,3,3.0000,3.0000,4.0000;4.0000;3.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q9,gpu,3,677.0000,670.0000,671.0000;670.0000;677.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q13,gpu,3,44.0000,44.0000,44.0000;46.0000;44.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q16,gpu,3,52.0000,52.0000,52.0000;52.0000;52.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q1,cpu,3,66.0000,65.0000,65.0000;65.0000;66.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q3,cpu,3,21.0000,21.0000,21.0000;22.0000;21.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q6,cpu,3,4.0000,3.0000,4.0000;3.0000;4.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q9,cpu,3,668.0000,663.0000,663.0000;672.0000;668.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q13,cpu,3,43.0000,43.0000,44.0000;44.0000;43.0000,OK
pl400w_smauto,400,auto,sirius,tpch,10,q16,cpu,3,52.0000,52.0000,52.0000;53.0000;52.0000,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q1,gpu,3,16.0580,16.0580,30.0380;16.7440;16.0580,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q3,gpu,3,57.7540,57.7540,72.1490;58.0210;57.7540,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q5,gpu,3,10.0390,10.0390,24.7370;10.4010;10.0390,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q6,gpu,3,342.6430,337.9670,358.4620;337.9670;342.6430,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q7,gpu,3,42.7750,42.7750,59.1350;43.0400;42.7750,OK
pl400w_smauto,400,auto,maximus,h2o,4gb,q9,gpu,3,46.8340,46.2490,74.8580;46.2490;46.8340,OK
