benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_tpch,10,w6_032,5,13.3190,13.3494,13.4050;13.3230;13.3190;13.3240;13.3760,OK
microbench_tpch,10,w6_046,5,39.3630,39.4006,39.4030;39.3780;39.4380;39.4210;39.3630,OK
microbench_tpch,10,w6_060,5,49.7840,49.9346,50.0020;49.7840;50.0940;49.8210;49.9720,OK
microbench_tpch,20,w1_002,5,8.0750,8.5008,10.1280;8.1060;8.0750;8.0900;8.1050,OK
microbench_tpch,20,w1_004,5,0.3590,0.4156,0.5910;0.3810;0.3590;0.3770;0.3700,OK
microbench_tpch,20,w1_005,5,30.8120,30.8766,31.0130;30.8120;30.8360;30.8520;30.8700,OK
microbench_tpch,20,w1_006,5,30.8310,31.2162,32.6020;30.8500;30.9110;30.8870;30.8310,OK
microbench_tpch,20,w1_007,5,63.5240,63.9430,65.5380;63.5640;63.5240;63.5320;63.5570,OK
microbench_tpch,20,w1_008,5,32.0510,32.2642,32.8920;32.1450;32.1180;32.0510;32.1150,OK
microbench_tpch,20,w1_011,5,122.4040,122.4420,122.4460;122.4350;122.4040;122.4660;122.4590,OK
microbench_tpch,20,w2_003,5,3.1300,3.2940,3.8980;3.1420;3.1550;3.1300;3.1450,OK
microbench_tpch,20,w2_012,5,2.1770,2.1884,2.1980;2.1850;2.1770;2.1900;2.1920,OK
microbench_tpch,20,w2_013,5,12.4970,12.5054,12.4970;12.5090;12.5160;12.5070;12.4980,OK
microbench_tpch,20,w2_014,5,20.1400,20.1630,20.1730;20.1400;20.1960;20.1560;20.1500,OK
microbench_tpch,20,w2_015,5,3.4130,3.9642,6.0710;3.4290;3.4130;3.4710;3.4370,OK
microbench_tpch,20,w2_016,5,10.2320,10.2514,10.2900;10.2400;10.2350;10.2600;10.2320,OK
microbench_tpch,20,w2_017,5,29.5780,29.6136,29.6230;29.6330;29.6210;29.6130;29.5780,OK
microbench_tpch,20,w3_001,5,0.5820,1.8422,6.4780;0.9650;0.5940;0.5920;0.5820,OK
microbench_tpch,20,w3_009,5,2.9950,3.0366,3.0020;3.1280;3.0330;3.0250;2.9950,OK
microbench_tpch,20,w3_010,5,2.1580,2.1632,2.1640;2.1580;2.1600;2.1610;2.1730,OK
microbench_tpch,20,w3_023,5,10.6650,10.6804,10.6700;10.6890;10.6750;10.7030;10.6650,OK
microbench_tpch,20,w3_024,5,14.0350,14.0660,14.0350;14.0850;14.0920;14.0470;14.0710,OK
microbench_tpch,20,w3_025,5,9.1400,9.1916,9.1400;9.1430;9.2680;9.1990;9.2080,OK
microbench_tpch,20,w3_028,5,16.4640,16.4800,16.4770;16.4740;16.4640;16.4860;16.4990,OK
microbench_tpch,20,w4_033,5,6.9550,8.4116,6.9550;7.6600;9.7360;7.8830;9.8240,OK
microbench_tpch,20,w4_052,5,16.9320,17.3348,18.3740;17.0590;17.1500;16.9320;17.1590,OK
microbench_tpch,20,w4_053,5,7.0720,7.3978,8.5110;7.1880;7.0720;7.1240;7.0940,OK
microbench_tpch,20,w4_054,5,48.6630,51.4960,54.4940;48.6630;53.0930;50.2910;50.9390,OK
microbench_tpch,20,w4_055,5,7.3850,8.3846,7.3850;9.1250;8.5760;7.9550;8.8820,OK
microbench_tpch,20,w4_057,5,65.9530,72.5116,80.3060;65.9530;68.8060;73.7380;73.7550,OK
microbench_tpch,20,w4_059,5,13.1430,13.8546,16.4240;13.3270;13.2110;13.1430;13.1680,OK
microbench_tpch,20,w5a_029,5,14.6320,15.0622,16.6990;14.6320;14.6480;14.6370;14.6950,OK
microbench_tpch,20,w5a_034,5,32.0300,32.0706,32.1440;32.0300;32.0610;32.0690;32.0490,OK
